Week_Ending_Date,Race and Ethnicity,Vaccination Coverage Status,Pregnancy Status at Vaccination,Vaccination Coverage Percentage (%),Denominator,Date Order,Race Sort Order,Visual Figure Number,Pregnancy Vaccination Order
05/29/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4,105041,,1,1,2
06/05/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.1,104899,,1,1,2
06/12/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,104933,,1,1,2
06/19/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,104970,,1,1,2
06/26/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,105127,,1,1,2
07/03/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,105062,,1,1,2
07/10/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,105013,,1,1,2
07/17/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,105052,,1,1,2
07/24/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,105064,,1,1,2
07/31/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,105010,,1,1,2
08/07/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,105053,,1,1,2
08/14/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,104896,,1,1,2
08/21/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,104838,,1,1,2
08/28/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,104656,,1,1,2
09/04/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.4,104718,,1,1,2
09/11/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.5,104734,,1,1,2
09/18/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.6,104919,,1,1,2
09/25/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.7,104927,,1,1,2
10/02/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.7,105065,,1,1,2
10/09/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.7,105217,,1,1,2
10/16/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.7,105446,,1,1,2
10/23/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.7,105645,,1,1,2
10/30/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.6,105955,,1,1,2
11/06/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.5,106323,,1,1,2
11/13/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.4,106669,,1,1,2
11/20/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,106758,,1,1,2
11/27/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,107069,,1,1,2
12/04/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.1,107534,,1,1,2
12/11/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4,107443,,1,1,2
12/18/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.9,107709,,1,1,2
12/25/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.7,107657,,1,1,2
01/01/2022,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.5,108036,,1,1,2
01/08/2022,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.3,108129,,1,1,2
01/15/2022,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.1,108209,,1,1,2
01/22/2022,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.9,108122,,1,1,2
01/29/2022,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.7,108332,,1,1,2
02/05/2022,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.5,108558,,1,1,2
02/12/2022,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.3,108497,,1,1,2
04/02/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,3.3,107707,,1,1,3
04/09/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,3.1,107413,,1,1,3
04/16/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,2.9,107134,,1,1,3
04/23/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,2.7,106715,,1,1,3
04/30/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,2.4,106184,,1,1,3
05/07/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,2.2,105482,,1,1,3
05/14/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,2.1,104646,,1,1,3
05/21/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,1.9,103644,,1,1,3
05/28/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,1.7,102428,,1,1,3
06/04/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,1.6,100834,,1,1,3
06/11/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,1.5,99219,,1,1,3
06/18/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,1.4,97212,,1,1,3
06/25/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,1.3,95022,,1,1,3
07/02/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,1.2,92226,,1,1,3
07/09/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,1.1,89000,,1,1,3
07/16/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,1.1,83361,,1,1,3
07/23/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,1,80005,,1,1,3
07/30/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,1,76783,,1,1,3
08/06/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,0.9,73612,,1,1,3
08/13/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,0.9,70392,,1,1,3
08/20/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,0.8,68200,,1,1,3
08/27/2022,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,0.8,66197,,1,1,3
01/02/2021,All Races/Ethnicity,Fully Vaccinated,Any,0,103282,,1,2,NULL
01/09/2021,All Races/Ethnicity,Fully Vaccinated,Any,0.2,103737,,1,2,NULL
01/16/2021,All Races/Ethnicity,Fully Vaccinated,Any,0.7,104025,,1,2,NULL
01/23/2021,All Races/Ethnicity,Fully Vaccinated,Any,1.2,104174,,1,2,NULL
01/30/2021,All Races/Ethnicity,Fully Vaccinated,Any,2,104407,,1,2,NULL
02/06/2021,All Races/Ethnicity,Fully Vaccinated,Any,2.8,104722,,1,2,NULL
02/13/2021,All Races/Ethnicity,Fully Vaccinated,Any,4,104698,,1,2,NULL
02/20/2021,All Races/Ethnicity,Fully Vaccinated,Any,4.9,104735,,1,2,NULL
02/27/2021,All Races/Ethnicity,Fully Vaccinated,Any,5.8,104988,,1,2,NULL
03/06/2021,All Races/Ethnicity,Fully Vaccinated,Any,6.7,105128,,1,2,NULL
03/13/2021,All Races/Ethnicity,Fully Vaccinated,Any,7.9,105196,,1,2,NULL
03/20/2021,All Races/Ethnicity,Fully Vaccinated,Any,9.4,105185,,1,2,NULL
03/27/2021,All Races/Ethnicity,Fully Vaccinated,Any,11.4,105206,,1,2,NULL
04/03/2021,All Races/Ethnicity,Fully Vaccinated,Any,13.5,105033,,1,2,NULL
04/10/2021,All Races/Ethnicity,Fully Vaccinated,Any,16.3,105066,,1,2,NULL
04/17/2021,All Races/Ethnicity,Fully Vaccinated,Any,19.4,105168,,1,2,NULL
04/24/2021,All Races/Ethnicity,Fully Vaccinated,Any,22.8,105003,,1,2,NULL
05/01/2021,All Races/Ethnicity,Fully Vaccinated,Any,25.8,104981,,1,2,NULL
05/08/2021,All Races/Ethnicity,Fully Vaccinated,Any,28.8,104974,,1,2,NULL
05/15/2021,All Races/Ethnicity,Fully Vaccinated,Any,31.3,105007,,1,2,NULL
05/22/2021,All Races/Ethnicity,Fully Vaccinated,Any,33.7,105087,,1,2,NULL
05/29/2021,All Races/Ethnicity,Fully Vaccinated,Any,35.6,105041,,1,2,NULL
06/05/2021,All Races/Ethnicity,Fully Vaccinated,Any,37.3,104899,,1,2,NULL
06/12/2021,All Races/Ethnicity,Fully Vaccinated,Any,39,104933,,1,2,NULL
06/19/2021,All Races/Ethnicity,Fully Vaccinated,Any,40.4,104970,,1,2,NULL
06/26/2021,All Races/Ethnicity,Fully Vaccinated,Any,41.7,105127,,1,2,NULL
07/03/2021,All Races/Ethnicity,Fully Vaccinated,Any,42.8,105062,,1,2,NULL
07/10/2021,All Races/Ethnicity,Fully Vaccinated,Any,44,105013,,1,2,NULL
07/17/2021,All Races/Ethnicity,Fully Vaccinated,Any,45.1,105052,,1,2,NULL
07/24/2021,All Races/Ethnicity,Fully Vaccinated,Any,46.2,105064,,1,2,NULL
07/31/2021,All Races/Ethnicity,Fully Vaccinated,Any,47.1,105010,,1,2,NULL
08/07/2021,All Races/Ethnicity,Fully Vaccinated,Any,48.2,105053,,1,2,NULL
08/14/2021,All Races/Ethnicity,Fully Vaccinated,Any,49.3,104896,,1,2,NULL
08/21/2021,All Races/Ethnicity,Fully Vaccinated,Any,50.6,104838,,1,2,NULL
08/28/2021,All Races/Ethnicity,Fully Vaccinated,Any,51.9,104656,,1,2,NULL
09/04/2021,All Races/Ethnicity,Fully Vaccinated,Any,53.4,104718,,1,2,NULL
09/11/2021,All Races/Ethnicity,Fully Vaccinated,Any,55,104734,,1,2,NULL
09/18/2021,All Races/Ethnicity,Fully Vaccinated,Any,56.9,104919,,1,2,NULL
09/25/2021,All Races/Ethnicity,Fully Vaccinated,Any,58.6,104927,,1,2,NULL
10/02/2021,All Races/Ethnicity,Fully Vaccinated,Any,59.9,105065,,1,2,NULL
10/09/2021,All Races/Ethnicity,Fully Vaccinated,Any,61,105217,,1,2,NULL
10/16/2021,All Races/Ethnicity,Fully Vaccinated,Any,62,105446,,1,2,NULL
10/23/2021,All Races/Ethnicity,Fully Vaccinated,Any,62.9,105645,,1,2,NULL
10/30/2021,All Races/Ethnicity,Fully Vaccinated,Any,63.6,105955,,1,2,NULL
11/06/2021,All Races/Ethnicity,Fully Vaccinated,Any,64.4,106323,,1,2,NULL
06/26/2021,"Black, NH",Fully Vaccinated,Any,19.9,7929,,3,2,NULL
07/03/2021,"Black, NH",Fully Vaccinated,Any,21,7922,,3,2,NULL
07/10/2021,"Black, NH",Fully Vaccinated,Any,22.1,7854,,3,2,NULL
07/17/2021,"Black, NH",Fully Vaccinated,Any,23.2,7842,,3,2,NULL
07/24/2021,"Black, NH",Fully Vaccinated,Any,24.1,7833,,3,2,NULL
07/31/2021,"Black, NH",Fully Vaccinated,Any,25.1,7783,,3,2,NULL
08/07/2021,"Black, NH",Fully Vaccinated,Any,25.8,7774,,3,2,NULL
08/14/2021,"Black, NH",Fully Vaccinated,Any,26.8,7754,,3,2,NULL
08/21/2021,"Black, NH",Fully Vaccinated,Any,27.9,7733,,3,2,NULL
08/28/2021,"Black, NH",Fully Vaccinated,Any,29.1,7721,,3,2,NULL
09/04/2021,"Black, NH",Fully Vaccinated,Any,30.7,7749,,3,2,NULL
09/11/2021,"Black, NH",Fully Vaccinated,Any,32.9,7756,,3,2,NULL
09/18/2021,"Black, NH",Fully Vaccinated,Any,34.6,7765,,3,2,NULL
09/25/2021,"Black, NH",Fully Vaccinated,Any,36.9,7775,,3,2,NULL
10/02/2021,"Black, NH",Fully Vaccinated,Any,38.3,7813,,3,2,NULL
10/09/2021,"Black, NH",Fully Vaccinated,Any,40,7837,,3,2,NULL
10/16/2021,"Black, NH",Fully Vaccinated,Any,41.2,7883,,3,2,NULL
10/23/2021,"Black, NH",Fully Vaccinated,Any,42.7,7912,,3,2,NULL
10/30/2021,"Black, NH",Fully Vaccinated,Any,44.2,7955,,3,2,NULL
11/06/2021,"Black, NH",Fully Vaccinated,Any,45.2,8057,,3,2,NULL
11/13/2021,"Black, NH",Fully Vaccinated,Any,46.3,8101,,3,2,NULL
11/20/2021,"Black, NH",Fully Vaccinated,Any,47.1,8130,,3,2,NULL
11/27/2021,"Black, NH",Fully Vaccinated,Any,47.9,8181,,3,2,NULL
12/04/2021,"Black, NH",Fully Vaccinated,Any,48.8,8257,,3,2,NULL
12/11/2021,"Black, NH",Fully Vaccinated,Any,49.2,8236,,3,2,NULL
12/18/2021,"Black, NH",Fully Vaccinated,Any,50,8229,,3,2,NULL
12/25/2021,"Black, NH",Fully Vaccinated,Any,50.6,8188,,3,2,NULL
01/01/2022,"Black, NH",Fully Vaccinated,Any,51.3,8228,,3,2,NULL
01/08/2022,"Black, NH",Fully Vaccinated,Any,52,8262,,3,2,NULL
01/15/2022,"Black, NH",Fully Vaccinated,Any,52.5,8269,,3,2,NULL
01/22/2022,"Black, NH",Fully Vaccinated,Any,53,8208,,3,2,NULL
01/29/2022,"Black, NH",Fully Vaccinated,Any,53.5,8236,,3,2,NULL
02/05/2022,"Black, NH",Fully Vaccinated,Any,54.1,8259,,3,2,NULL
02/12/2022,"Black, NH",Fully Vaccinated,Any,54.7,8245,,3,2,NULL
02/19/2022,"Black, NH",Fully Vaccinated,Any,54.9,8233,,3,2,NULL
02/26/2022,"Black, NH",Fully Vaccinated,Any,55.5,8224,,3,2,NULL
03/05/2022,"Black, NH",Fully Vaccinated,Any,55.9,8206,,3,2,NULL
03/12/2022,"Black, NH",Fully Vaccinated,Any,56.2,8229,,3,2,NULL
03/19/2022,"Black, NH",Fully Vaccinated,Any,56.5,8200,,3,2,NULL
03/26/2022,"Black, NH",Fully Vaccinated,Any,56.9,8214,,3,2,NULL
04/02/2022,"Black, NH",Fully Vaccinated,Any,57.2,8171,,3,2,NULL
04/09/2022,"Black, NH",Fully Vaccinated,Any,57.4,8140,,3,2,NULL
04/16/2022,"Black, NH",Fully Vaccinated,Any,57.5,8120,,3,2,NULL
04/23/2022,"Black, NH",Fully Vaccinated,Any,57.4,8092,,3,2,NULL
04/30/2022,"Black, NH",Fully Vaccinated,Any,57.4,8038,,3,2,NULL
05/07/2022,"Black, NH",Fully Vaccinated,Any,57.5,7989,,3,2,NULL
05/14/2022,"Black, NH",Fully Vaccinated,Any,57.5,7915,,3,2,NULL
05/21/2022,"Black, NH",Fully Vaccinated,Any,57.7,7842,,3,2,NULL
05/28/2022,"Black, NH",Fully Vaccinated,Any,57.8,7762,,3,2,NULL
06/04/2022,"Black, NH",Fully Vaccinated,Any,58,7597,,3,2,NULL
06/11/2022,"Black, NH",Fully Vaccinated,Any,58.2,7429,,3,2,NULL
06/18/2022,"Black, NH",Fully Vaccinated,Any,58.3,7253,,3,2,NULL
06/25/2022,"Black, NH",Fully Vaccinated,Any,58.3,7074,,3,2,NULL
07/02/2022,"Black, NH",Fully Vaccinated,Any,58.3,6832,,3,2,NULL
07/09/2022,"Black, NH",Fully Vaccinated,Any,58.4,6557,,3,2,NULL
07/16/2022,"Black, NH",Fully Vaccinated,Any,58.5,6179,,3,2,NULL
07/23/2022,"Black, NH",Fully Vaccinated,Any,58.5,5871,,3,2,NULL
07/30/2022,"Black, NH",Fully Vaccinated,Any,59,5601,,3,2,NULL
08/06/2022,"Black, NH",Fully Vaccinated,Any,58.9,5352,,3,2,NULL
08/13/2022,"Black, NH",Fully Vaccinated,Any,59.1,5101,,3,2,NULL
08/20/2022,"Black, NH",Fully Vaccinated,Any,59.1,4932,,3,2,NULL
08/27/2022,"Black, NH",Fully Vaccinated,Any,59.1,4762,,3,2,NULL
01/09/2021,Hispanic/Latino,Fully Vaccinated,Any,0.1,36058,,4,2,NULL
01/16/2021,Hispanic/Latino,Fully Vaccinated,Any,0.3,36188,,4,2,NULL
01/23/2021,Hispanic/Latino,Fully Vaccinated,Any,0.6,36266,,4,2,NULL
01/30/2021,Hispanic/Latino,Fully Vaccinated,Any,1,36405,,4,2,NULL
02/06/2021,Hispanic/Latino,Fully Vaccinated,Any,1.6,36574,,4,2,NULL
02/13/2021,Hispanic/Latino,Fully Vaccinated,Any,2.6,36630,,4,2,NULL
02/20/2021,Hispanic/Latino,Fully Vaccinated,Any,3.3,36716,,4,2,NULL
02/27/2021,Hispanic/Latino,Fully Vaccinated,Any,3.9,36804,,4,2,NULL
03/06/2021,Hispanic/Latino,Fully Vaccinated,Any,4.5,36913,,4,2,NULL
03/13/2021,Hispanic/Latino,Fully Vaccinated,Any,5.3,37014,,4,2,NULL
03/20/2021,Hispanic/Latino,Fully Vaccinated,Any,6.5,37098,,4,2,NULL
03/27/2021,Hispanic/Latino,Fully Vaccinated,Any,8.1,37158,,4,2,NULL
04/03/2021,Hispanic/Latino,Fully Vaccinated,Any,9.9,37153,,4,2,NULL
04/10/2021,Hispanic/Latino,Fully Vaccinated,Any,12.1,37293,,4,2,NULL
04/17/2021,Hispanic/Latino,Fully Vaccinated,Any,14.5,37400,,4,2,NULL
04/24/2021,Hispanic/Latino,Fully Vaccinated,Any,17.2,37405,,4,2,NULL
05/01/2021,Hispanic/Latino,Fully Vaccinated,Any,19.6,37391,,4,2,NULL
05/08/2021,Hispanic/Latino,Fully Vaccinated,Any,21.9,37378,,4,2,NULL
05/15/2021,Hispanic/Latino,Fully Vaccinated,Any,24.3,37391,,4,2,NULL
05/22/2021,Hispanic/Latino,Fully Vaccinated,Any,26.4,37402,,4,2,NULL
05/29/2021,Hispanic/Latino,Fully Vaccinated,Any,28.2,37442,,4,2,NULL
06/05/2021,Hispanic/Latino,Fully Vaccinated,Any,29.8,37366,,4,2,NULL
06/12/2021,Hispanic/Latino,Fully Vaccinated,Any,31.4,37442,,4,2,NULL
06/19/2021,Hispanic/Latino,Fully Vaccinated,Any,32.7,37536,,4,2,NULL
06/26/2021,Hispanic/Latino,Fully Vaccinated,Any,34,37520,,4,2,NULL
07/03/2021,Hispanic/Latino,Fully Vaccinated,Any,35.1,37442,,4,2,NULL
07/10/2021,Hispanic/Latino,Fully Vaccinated,Any,36.3,37449,,4,2,NULL
07/17/2021,Hispanic/Latino,Fully Vaccinated,Any,37.4,37444,,4,2,NULL
07/24/2021,Hispanic/Latino,Fully Vaccinated,Any,38.6,37429,,4,2,NULL
07/31/2021,Hispanic/Latino,Fully Vaccinated,Any,39.5,37440,,4,2,NULL
08/07/2021,Hispanic/Latino,Fully Vaccinated,Any,40.7,37419,,4,2,NULL
08/14/2021,Hispanic/Latino,Fully Vaccinated,Any,41.9,37331,,4,2,NULL
08/21/2021,Hispanic/Latino,Fully Vaccinated,Any,43.3,37275,,4,2,NULL
08/28/2021,Hispanic/Latino,Fully Vaccinated,Any,44.9,37183,,4,2,NULL
09/04/2021,Hispanic/Latino,Fully Vaccinated,Any,46.7,37108,,4,2,NULL
09/11/2021,Hispanic/Latino,Fully Vaccinated,Any,48.7,37100,,4,2,NULL
09/18/2021,Hispanic/Latino,Fully Vaccinated,Any,51,37071,,4,2,NULL
09/25/2021,Hispanic/Latino,Fully Vaccinated,Any,53.1,37035,,4,2,NULL
10/02/2021,Hispanic/Latino,Fully Vaccinated,Any,54.9,37031,,4,2,NULL
10/09/2021,Hispanic/Latino,Fully Vaccinated,Any,56.2,37050,,4,2,NULL
10/16/2021,Hispanic/Latino,Fully Vaccinated,Any,57.5,37088,,4,2,NULL
10/23/2021,Hispanic/Latino,Fully Vaccinated,Any,58.7,37211,,4,2,NULL
10/30/2021,Hispanic/Latino,Fully Vaccinated,Any,59.8,37318,,4,2,NULL
11/06/2021,Hispanic/Latino,Fully Vaccinated,Any,60.7,37459,,4,2,NULL
11/13/2021,Hispanic/Latino,Fully Vaccinated,Any,61.4,37544,,4,2,NULL
11/20/2021,Hispanic/Latino,Fully Vaccinated,Any,62,37605,,4,2,NULL
11/27/2021,Hispanic/Latino,Fully Vaccinated,Any,62.5,37680,,4,2,NULL
12/04/2021,Hispanic/Latino,Fully Vaccinated,Any,63.2,37860,,4,2,NULL
12/11/2021,Hispanic/Latino,Fully Vaccinated,Any,63.7,37791,,4,2,NULL
12/18/2021,Hispanic/Latino,Fully Vaccinated,Any,64.2,37881,,4,2,NULL
12/25/2021,Hispanic/Latino,Fully Vaccinated,Any,64.7,37832,,4,2,NULL
01/01/2022,Hispanic/Latino,Fully Vaccinated,Any,65.2,37969,,4,2,NULL
01/08/2022,Hispanic/Latino,Fully Vaccinated,Any,65.5,37983,,4,2,NULL
01/15/2022,Hispanic/Latino,Fully Vaccinated,Any,65.9,37983,,4,2,NULL
01/22/2022,Hispanic/Latino,Fully Vaccinated,Any,66.4,37936,,4,2,NULL
01/29/2022,Hispanic/Latino,Fully Vaccinated,Any,66.8,37932,,4,2,NULL
02/05/2022,Hispanic/Latino,Fully Vaccinated,Any,67.2,37982,,4,2,NULL
02/12/2022,Hispanic/Latino,Fully Vaccinated,Any,67.6,37915,,4,2,NULL
02/19/2022,Hispanic/Latino,Fully Vaccinated,Any,67.8,37903,,4,2,NULL
02/26/2022,Hispanic/Latino,Fully Vaccinated,Any,68,37991,,4,2,NULL
03/05/2022,Hispanic/Latino,Fully Vaccinated,Any,68.2,38043,,4,2,NULL
03/12/2022,Hispanic/Latino,Fully Vaccinated,Any,68.3,38069,,4,2,NULL
03/19/2022,Hispanic/Latino,Fully Vaccinated,Any,68.5,37981,,4,2,NULL
03/26/2022,Hispanic/Latino,Fully Vaccinated,Any,68.7,37947,,4,2,NULL
04/02/2022,Hispanic/Latino,Fully Vaccinated,Any,68.8,37865,,4,2,NULL
04/09/2022,Hispanic/Latino,Fully Vaccinated,Any,68.9,37772,,4,2,NULL
04/16/2022,Hispanic/Latino,Fully Vaccinated,Any,69,37683,,4,2,NULL
04/23/2022,Hispanic/Latino,Fully Vaccinated,Any,69.1,37583,,4,2,NULL
04/30/2022,Hispanic/Latino,Fully Vaccinated,Any,69.2,37390,,4,2,NULL
05/07/2022,Hispanic/Latino,Fully Vaccinated,Any,69.3,37169,,4,2,NULL
05/14/2022,Hispanic/Latino,Fully Vaccinated,Any,69.5,36849,,4,2,NULL
05/21/2022,Hispanic/Latino,Fully Vaccinated,Any,69.6,36444,,4,2,NULL
05/28/2022,Hispanic/Latino,Fully Vaccinated,Any,69.7,36021,,4,2,NULL
06/04/2022,Hispanic/Latino,Fully Vaccinated,Any,69.9,35468,,4,2,NULL
06/11/2022,Hispanic/Latino,Fully Vaccinated,Any,69.9,34951,,4,2,NULL
06/18/2022,Hispanic/Latino,Fully Vaccinated,Any,69.9,34264,,4,2,NULL
06/25/2022,Hispanic/Latino,Fully Vaccinated,Any,69.9,33510,,4,2,NULL
07/02/2022,Hispanic/Latino,Fully Vaccinated,Any,70,32509,,4,2,NULL
07/09/2022,Hispanic/Latino,Fully Vaccinated,Any,70,31389,,4,2,NULL
07/16/2022,Hispanic/Latino,Fully Vaccinated,Any,70,29647,,4,2,NULL
07/23/2022,Hispanic/Latino,Fully Vaccinated,Any,70.1,28533,,4,2,NULL
07/30/2022,Hispanic/Latino,Fully Vaccinated,Any,70.1,27358,,4,2,NULL
08/06/2022,Hispanic/Latino,Fully Vaccinated,Any,70,26203,,4,2,NULL
08/13/2022,Hispanic/Latino,Fully Vaccinated,Any,69.9,25059,,4,2,NULL
08/20/2022,Hispanic/Latino,Fully Vaccinated,Any,70,24330,,4,2,NULL
08/27/2022,Hispanic/Latino,Fully Vaccinated,Any,70,23668,,4,2,NULL
01/09/2021,"Other, NH",Fully Vaccinated,Any,0.4,4926,,5,2,NULL
01/16/2021,"Other, NH",Fully Vaccinated,Any,1.1,4926,,5,2,NULL
01/23/2021,"Other, NH",Fully Vaccinated,Any,1.5,4911,,5,2,NULL
01/30/2021,"Other, NH",Fully Vaccinated,Any,2.2,4922,,5,2,NULL
02/06/2021,"Other, NH",Fully Vaccinated,Any,2.9,4958,,5,2,NULL
02/13/2021,"Other, NH",Fully Vaccinated,Any,4,4968,,5,2,NULL
02/20/2021,"Other, NH",Fully Vaccinated,Any,4.8,4972,,5,2,NULL
02/27/2021,"Other, NH",Fully Vaccinated,Any,5.6,4966,,5,2,NULL
03/06/2021,"Other, NH",Fully Vaccinated,Any,6.8,4961,,5,2,NULL
03/13/2021,"Other, NH",Fully Vaccinated,Any,8,4983,,5,2,NULL
03/20/2021,"Other, NH",Fully Vaccinated,Any,9.3,5001,,5,2,NULL
03/27/2021,"Other, NH",Fully Vaccinated,Any,11.6,4983,,5,2,NULL
04/03/2021,"Other, NH",Fully Vaccinated,Any,13.6,4958,,5,2,NULL
04/10/2021,"Other, NH",Fully Vaccinated,Any,16.3,4978,,5,2,NULL
04/17/2021,"Other, NH",Fully Vaccinated,Any,19.1,4956,,5,2,NULL
04/24/2021,"Other, NH",Fully Vaccinated,Any,22.7,4929,,5,2,NULL
05/01/2021,"Other, NH",Fully Vaccinated,Any,25.6,4903,,5,2,NULL
05/08/2021,"Other, NH",Fully Vaccinated,Any,28.7,4885,,5,2,NULL
05/15/2021,"Other, NH",Fully Vaccinated,Any,31.4,4898,,5,2,NULL
05/22/2021,"Other, NH",Fully Vaccinated,Any,33.9,4899,,5,2,NULL
05/29/2021,"Other, NH",Fully Vaccinated,Any,35.8,4891,,5,2,NULL
06/05/2021,"Other, NH",Fully Vaccinated,Any,37.6,4875,,5,2,NULL
