Area,Birth rate,Fertility rate,fertility rate,10_14,Total,15_17,18_19,20_24,25_29,30_34,35_39,40_44,45_49
Vermont,8.3,44.9,"1,370.50",*,6.4,3.1,9.9,31.4,73.5,98.4,53,10.2,1.2
Virginia,11.1,56.1,"1,660.00",0.1,11.7,4.6,21.9,54.2,90,103.6,58.1,13.2,1.1
Washington,10.8,54.2,"1,558.50",0.1,10.1,3.7,20.5,54.8,83.9,93.3,55.9,12.6,1
West Virginia,9.6,54.7,"1,650.50",*,20.9,7.3,41.7,89.3,103.8,76.2,32.8,6.4,0.5
Wisconsin,10.5,55.7,"1,688.50",0.1,10.1,3.8,19.2,49.5,103.3,115.6,48.8,9.7,0.6
Wyoming,10.8,57.5,"1,746.00",*,16,5.3,34.1,80.1,114.7,89.7,39.5,8.7,*
PuertoRico,5.9,30.8,907,*,13.2,5.3,24.7,54.5,51.8,36.6,20.7,4.2,0.3
USVirginIslands,8.5,48.4,"1,457.50",*,18.5,*,35.5,76.7,77.3,63.4,40.9,14.1,*
Guam,15.5,80.1,"2,355.00",*,23.8,11.7,42.7,96.7,130.3,122.4,75.2,20.6,*
AmericanSamoa,---,---,---,---,---,---,---,---,---,---,---,---,---
NorthernMarianas,11,62.8,"2,204.50",*,14,*,*,55.3,108.5,162.6,82.6,16.4,*
